param,Parameter,category
has_vignette ,Has a Vignette?,maintenance
has_website ,Has a Website?,maintenance
has_news ,Has a News?,maintenance
has_source_pub ,Source code maintained publicly?,maintenance
has_bugtrack ,Formal bug tracking?,maintenance
approved_license ,Company approved license?,maintenance
n_releases ,Number of releases in past 18 months,maintenance
n_lines ,Number of lines of R code,maintenance
n_author_pkg ,Number of other packages by maintainer on CRAN,maintenance
on_cran ,Is the package on CRAN?,community
has_tests ,Does the package implement a standard unit test framework?,testing
test_coverage,What is the test coverage?,testing
months_package,Maturity of Package (months),community
months_version,Maturity of Version (months),community
n_reverse_depends,Number of reverse depends and imports,community
n_download,Number of Downloads,community
